CONFED,NAME,SLUG,SOURCE_PAGE,PNG_URL,PNG_PATH,SVG_URL,SVG_PATH,STATUS,ERROR,SHA1
UEFA,🇩🇪 Germany,germany,https://football-logos.cc/germany/germany-national-team/,https://assets.football-logos.cc/logos/germany/1500x1500/germany-national-team.0c1f52af.png,C:\Temp\national-badges\UEFA\germany.png,https://assets.football-logos.cc/logos/germany/svg/germany-national-team.0c1f52af.svg,,ok,,d73a0f5fb3a6363b575ebe137636dc55b3948ad4
UEFA,🇩🇰 Denmark,denmark,https://football-logos.cc/denmark/denmark-national-team/,https://assets.football-logos.cc/logos/denmark/1500x1500/denmark-national-team.bc724aca.png,C:\Temp\national-badges\UEFA\denmark.png,https://assets.football-logos.cc/logos/denmark/svg/denmark-national-team.bc724aca.svg,,ok,,40fbe4570690bcc1540349ed27d657411b6aa9fa
UEFA,🇪🇪 Estonia,estonia,https://football-logos.cc/estonia/estonia-national-team/,https://assets.football-logos.cc/logos/estonia/1500x1500/estonia-national-team.785d6fb6.png,C:\Temp\national-badges\UEFA\estonia.png,https://assets.football-logos.cc/logos/estonia/svg/estonia-national-team.785d6fb6.svg,,ok,,af6c92f13517cfd9dac6e60f336fbd00e68e49fb
UEFA,🇪🇸 Spain,spain,https://football-logos.cc/spain/spain-national-team/,https://assets.football-logos.cc/logos/spain/1500x1500/spain-national-team.2ae426fa.png,C:\Temp\national-badges\UEFA\spain.png,https://assets.football-logos.cc/logos/spain/svg/spain-national-team.2ae426fa.svg,,ok,,85f29f66aa7a356028a5b2a3451625a0c07f2e17
UEFA,🇫🇮 Finland,finland,https://football-logos.cc/finland/finland-national-team/,https://assets.football-logos.cc/logos/finland/1500x1500/finland-national-team.cc6ac81c.png,C:\Temp\national-badges\UEFA\finland.png,https://assets.football-logos.cc/logos/finland/svg/finland-national-team.cc6ac81c.svg,,ok,,1f8a8fd74979c84ce79894dea238e4f78d7630b6
UEFA,🇫🇴 Faroe Islands,faroe-islands,https://football-logos.cc/faroe-islands/faroe-islands-national-team/,https://assets.football-logos.cc/logos/faroe-islands/1500x1500/faroe-islands-national-team.db12b8f5.png,C:\Temp\national-badges\UEFA\faroe-islands.png,https://assets.football-logos.cc/logos/faroe-islands/svg/faroe-islands-national-team.db12b8f5.svg,,ok,,098a309462265693dad3c3aaf0bb3cbef187d055
UEFA,🇫🇷 France,france,https://football-logos.cc/france/france-national-team/,https://assets.football-logos.cc/logos/france/1500x1500/france-national-team.fba1205a.png,C:\Temp\national-badges\UEFA\france.png,https://assets.football-logos.cc/logos/france/svg/france-national-team.fba1205a.svg,,ok,,68a3748de03bea1e2f9df2d74cd28f12aa1dab71
UEFA,🇬🇪 Georgia,georgia,https://football-logos.cc/georgia/georgia-national-team/,https://assets.football-logos.cc/logos/georgia/1500x1500/georgia-national-team.c576c286.png,C:\Temp\national-badges\UEFA\georgia.png,https://assets.football-logos.cc/logos/georgia/svg/georgia-national-team.c576c286.svg,,ok,,70c180be4085f8f5cc7e8e58a44732b939e5849d
UEFA,🇬🇮 Gibraltar,gibraltar,https://football-logos.cc/gibraltar/gibraltar-national-team/,https://assets.football-logos.cc/logos/gibraltar/1500x1500/gibraltar-national-team.60315d70.png,C:\Temp\national-badges\UEFA\gibraltar.png,https://assets.football-logos.cc/logos/gibraltar/svg/gibraltar-national-team.60315d70.svg,,ok,,6c265614343a18d58d8e2a47ec897b19d6c928b3
UEFA,🇬🇷 Greece,greece,https://football-logos.cc/greece/greece-national-team/,https://assets.football-logos.cc/logos/greece/1500x1500/greece-national-team.4256c012.png,C:\Temp\national-badges\UEFA\greece.png,https://assets.football-logos.cc/logos/greece/svg/greece-national-team.4256c012.svg,,ok,,52547dd48fc582b375dd11f7cb490f86e0d6b27f
